||Columns|
Rows||City|
|||
|||
||Population Of Sre-1, Sre-2, Provinces And Districts|
İzmir(Ödemiş)|2015|132028.0|
İzmir(Seferihisar)|2015|36335.0|
İzmir(Selçuk)|2015|35736.0|
İzmir(Tire)|2015|82102.0|
İzmir(Torbalı)|2015|156983.0|
İzmir(Urla)|2015|60750.0|
Kahramanmaraş(Afşin)|2015|81390.0|
Kahramanmaraş(Andırın)|2015|34038.0|
Kahramanmaraş(Çağlayancerit)|2015|23607.0|
Kahramanmaraş(Dulkadiroğlu)|2015|218067.0|
Kahramanmaraş(Ekinözü)|2015|11886.0|
Kahramanmaraş(Elbistan)|2015|141468.0|
Kahramanmaraş(Göksun)|2015|51415.0|
Kahramanmaraş(Nurhak)|2015|12504.0|
Kahramanmaraş(Onikişubat)|2015|384953.0|
Kahramanmaraş(Pazarcık)|2015|67802.0|
Kahramanmaraş(Türkoğlu)|2015|69480.0|
Karabük(Eflani)|2015|2115.0|
Karabük(Eskipazar)|2015|7083.0|
Karabük(Merkez)|2015|117557.0|
Karabük(Ovacık)|2015|630.0|
Karabük(Safranbolu)|2015|46360.0|
Karabük(Yenice)|2015|9396.0|
Karaman(Ayrancı)|2015|2305.0|
Karaman(Başyayla)|2015|1858.0|
Karaman(Ermenek)|2015|11228.0|
Karaman(Kazımkarabekir)|2015|3145.0|
Karaman(Merkez)|2015|152256.0|
Karaman(Sarıveliler)|2015|4998.0|
Kars(Akyaka)|2015|1929.0|
Kars(Arpaçay)|2015|2870.0|
Kars(Digor)|2015|2771.0|
Kars(Kağızman)|2015|18744.0|
Kars(Merkez)|2015|81742.0|
Kars(Sarıkamış)|2015|17662.0|
Kars(Selim)|2015|5143.0|
Kars(Susuz)|2015|2473.0|
Kastamonu(Abana)|2015|3540.0|
Kastamonu(Ağlı)|2015|1973.0|
Kastamonu(Araç)|2015|6456.0|
Kastamonu(Azdavay)|2015|2761.0|
Kastamonu(Bozkurt)|2015|5296.0|
Kastamonu(Çatalzeytin)|2015|2559.0|
Kastamonu(Cide)|2015|12998.0|
Kastamonu(Daday)|2015|3214.0|
Kastamonu(Devrekani)|2015|5371.0|
Kastamonu(Doğanyurt)|2015|1444.0|
Kastamonu(Hanönü)|2015|1894.0|
Kastamonu(İhsangazi)|2015|3208.0|
Kastamonu(İnebolu)|2015|9509.0|
Kastamonu(Küre)|2015|3279.0|
Kastamonu(Merkez)|2015|110908.0|
Kastamonu(Pınarbaşı)|2015|2484.0|
Kastamonu(Şenpazar)|2015|2258.0|
Kastamonu(Seydiler)|2015|2507.0|
Kastamonu(Taşköprü)|2015|16648.0|
Kastamonu(Tosya)|2015|28561.0|
Kayseri(Akkışla)|2015|6079.0|
Kayseri(Bünyan)|2015|26812.0|
Kayseri(Develi)|2015|64072.0|
Kayseri(Felahiye)|2015|5834.0|
Kayseri(Hacılar)|2015|12484.0|
Kayseri(İncesu)|2015|24309.0|
Kayseri(Kocasinan)|2015|388364.0|
Kayseri(Melikgazi)|2015|548028.0|
Kayseri(Özvatan)|2015|3620.0|
Kayseri(Pınarbaşı)|2015|24198.0|
Kayseri(Sarıoğlan)|2015|14106.0|
Kayseri(Sarız)|2015|9713.0|
Kayseri(Talas)|2015|137933.0|
Kayseri(Tomarza)|2015|23347.0|
Kayseri(Yahyalı)|2015|36378.0|
Kayseri(Yeşilhisar)|2015|15779.0|
Kilis(Elbeyli)|2015|1868.0|
Kilis(Merkez)|2015|93266.0|
Kilis(Musabeyli)|2015|1236.0|
Kilis(Polateli)|2015|1041.0|
Kırıkkale(Bahşili)|2015|5518.0|
Kırıkkale(Balışeyh)|2015|2001.0|
Kırıkkale(Çelebi)|2015|816.0|
Kırıkkale(Delice)|2015|2222.0|
Kırıkkale(Karakeçili)|2015|3128.0|
Kırıkkale(Keskin)|2015|9491.0|
Kırıkkale(Merkez)|2015|190486.0|
Kırıkkale(Sulakyurt)|2015|2420.0|
Kırıkkale(Yahşihan)|2015|19493.0|
Kırklareli(Babaeski)|2015|27996.0|
Kırklareli(Demirköy)|2015|3433.0|
Kırklareli(Kofçaz)|2015|742.0|
Kırklareli(Lüleburgaz)|2015|111898.0|
Kırklareli(Merkez)|2015|73517.0|
Kırklareli(Pehlivanköy)|2015|1701.0|
Kırklareli(Pınarhisar)|2015|10636.0|
Kırklareli(Vize)|2015|13095.0|
Kırşehir(Akçakent)|2015|863.0|
Kırşehir(Akpınar)|2015|2911.0|
Kırşehir(Boztepe)|2015|2668.0|
Kırşehir(Çiçekdağı)|2015|6065.0|
Kırşehir(Kaman)|2015|22167.0|
Kırşehir(Merkez)|2015|125807.0|
Kırşehir(Mucur)|2015|12741.0|
Kocaeli(Başiskele)|2015|84235.0|
Kocaeli(Çayırova)|2015|117230.0|
Kocaeli(Darıca)|2015|182710.0|
Kocaeli(Derince)|2015|136742.0|
Kocaeli(Dilovası)|2015|46099.0|
Kocaeli(Gebze)|2015|350115.0|
Kocaeli(Gölcük)|2015|152607.0|
Kocaeli(İzmit)|2015|347074.0|
Kocaeli(Kandıra)|2015|48937.0|
Kocaeli(Karamürsel)|2015|55169.0|
Kocaeli(Kartepe)|2015|107988.0|
Kocaeli(Körfez)|2015|151149.0|
Konya(Ahırlı)|2015|4545.0|
Konya(Akören)|2015|6409.0|
Konya(Akşehir)|2015|94159.0|
Konya(Altınekin)|2015|14171.0|
Konya(Beyşehir)|2015|71370.0|
Konya(Bozkır)|2015|27006.0|
Konya(Çeltik)|2015|9864.0|
